Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Latitude,Longitude
Hyères,Var,83069,"43.108867, 6.124223",87755629,Mardi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Mercredi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Jeudi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Vendredi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Samedi,05:40-22:00,05:40-22:00,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Dimanche,05:40-22:00,05:40-22:00,43.108867,6.124223
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Lundi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Mardi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Mercredi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Jeudi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Vendredi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Samedi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Dimanche,07:30-21:00,07:30-21:00,43.9247771,5.8923199
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Lundi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Lundi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Mardi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Mardi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Mercredi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Mercredi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Jeudi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Jeudi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Vendredi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Vendredi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Samedi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Samedi,14:00-17:10,Fermé,43.199593,5.632647
La Pauline Hyères,Var,83062,"43.1364769, 6.0351027",87755314,Lundi,06:15-09:15,,43.1364769,6.0351027
La Pauline Hyères,Var,83062,"43.1364769, 6.0351027",87755314,Jeudi,09:45-12:15,,43.1364769,6.0351027
Le Luc - Le Cannet,Var,83031,"43.3902379, 6.3430972",87755405,Mercredi,06:15-09:15,,43.3902379,6.3430972
Le Luc - Le Cannet,Var,83031,"43.3902379, 6.3430972",87755405,Vendredi,10:30-13:30,,43.3902379,6.3430972
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Lundi,05:30-22:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Mardi,05:30-22:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Mercredi,05:30-22:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Jeudi,05:30-22:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Vendredi,05:30-23:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Samedi,05:30-23:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Dimanche,05:30-23:00,05:30-23:00,43.455524,6.482498
Manosque - Gréoux-les-Bains,Alpes-de-Haute-Provence,4112,"43.8231945, 5.7933241",87751321,Lundi,06:00-20:45,,43.8231945,5.7933241
Manosque - Gréoux-les-Bains,Alpes-de-Haute-Provence,4112,"43.8231945, 5.7933241",87751321,Mardi,06:00-20:45,,43.8231945,5.7933241
Manosque - Gréoux-les-Bains,Alpes-de-Haute-Provence,4112,"43.8231945, 5.7933241",87751321,Mercredi,06:00-20:45,,43.8231945,5.7933241
Manosque - Gréoux-les-Bains,Alpes-de-Haute-Provence,4112,"43.8231945, 5.7933241",87751321,Jeudi,06:00-20:45,,43.8231945,5.7933241
Manosque - Gréoux-les-Bains,Alpes-de-Haute-Provence,4112,"43.8231945, 5.7933241",87751321,Vendredi,06:00-20:45,,43.8231945,5.7933241
Manosque - Gréoux-les-Bains,Alpes-de-Haute-Provence,4112,"43.8231945, 5.7933241",87751321,Samedi,06:00-20:45,,43.8231945,5.7933241
Manosque - Gréoux-les-Bains,Alpes-de-Haute-Provence,4112,"43.8231945, 5.7933241",87751321,Dimanche,07:30-20:45,,43.8231945,5.7933241
Marseille Saint-Charles,Bouches-du-Rhône,13201,"43.302666, 5.380407",87751008,Lundi,04:30-01:05,04:30-01:05,43.302666,5.380407
Marseille Saint-Charles,Bouches-du-Rhône,13201,"43.302666, 5.380407",87751008,Mardi,04:30-01:05,04:30-01:05,43.302666,5.380407
Marseille Saint-Charles,Bouches-du-Rhône,13201,"43.302666, 5.380407",87751008,Mercredi,04:30-01:05,04:30-01:05,43.302666,5.380407
Marseille Saint-Charles,Bouches-du-Rhône,13201,"43.302666, 5.380407",87751008,Jeudi,04:30-01:05,04:30-01:05,43.302666,5.380407
Marseille Saint-Charles,Bouches-du-Rhône,13201,"43.302666, 5.380407",87751008,Vendredi,04:30-01:30,04:30-01:30,43.302666,5.380407
Marseille Saint-Charles,Bouches-du-Rhône,13201,"43.302666, 5.380407",87751008,Samedi,04:30-01:05,04:30-01:05,43.302666,5.380407
Marseille Saint-Charles,Bouches-du-Rhône,13201,"43.302666, 5.380407",87751008,Dimanche,04:30-01:05,04:30-01:05,43.302666,5.380407
Martigues,Bouches-du-Rhône,13056,"43.3929209, 5.0257804",87753509,Mardi,09:55-16:55,Fermé,43.3929209,5.0257804
Martigues,Bouches-du-Rhône,13056,"43.3929209, 5.0257804",87753509,Jeudi,09:55-16:55,Fermé,43.3929209,5.0257804
Martigues,Bouches-du-Rhône,13056,"43.3929209, 5.0257804",87753509,Vendredi,09:55-16:55,Fermé,43.3929209,5.0257804
Menton,Alpes-Maritimes,6083,"43.774444, 7.4933",87756486,Lundi,06:00-19:30,06:00-19:30,43.774444,7.4933
Menton,Alpes-Maritimes,6083,"43.774444, 7.4933",87756486,Mardi,06:00-19:30,06:00-19:30,43.774444,7.4933
Menton,Alpes-Maritimes,6083,"43.774444, 7.4933",87756486,Mercredi,06:00-19:30,06:00-19:30,43.774444,7.4933
Menton,Alpes-Maritimes,6083,"43.774444, 7.4933",87756486,Jeudi,06:00-19:30,06:00-19:30,43.774444,7.4933
Menton,Alpes-Maritimes,6083,"43.774444, 7.4933",87756486,Vendredi,06:00-19:30,06:00-19:30,43.774444,7.4933
Menton,Alpes-Maritimes,6083,"43.774444, 7.4933",87756486,Samedi,06:00-19:30,06:00-19:30,43.774444,7.4933
Menton,Alpes-Maritimes,6083,"43.774444, 7.4933",87756486,Dimanche,06:00-19:30,06:00-19:30,43.774444,7.4933
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Lundi,09:00-13:00,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Lundi,14:00-17:10,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Mardi,09:00-13:00,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Mardi,14:00-17:10,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Mercredi,09:00-13:00,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Mercredi,14:00-17:10,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Jeudi,09:00-13:00,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Jeudi,14:00-17:10,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Vendredi,09:00-13:00,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Vendredi,14:00-17:10,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Samedi,14:00-17:10,,43.122586,5.824979
Ollioules - Sanary-sur-Mer,Var,83090,"43.122586, 5.824979",87755231,Samedi,09:00-13:00,,43.122586,5.824979
Orange,Vaucluse,84087,"44.137304, 4.819594",87765107,Lundi,05:45-21:30,06:45-21:30,44.137304,4.819594
Orange,Vaucluse,84087,"44.137304, 4.819594",87765107,Mardi,05:45-21:30,06:45-21:30,44.137304,4.819594
Orange,Vaucluse,84087,"44.137304, 4.819594",87765107,Mercredi,05:45-21:30,06:45-21:30,44.137304,4.819594
Orange,Vaucluse,84087,"44.137304, 4.819594",87765107,Jeudi,05:45-21:30,06:45-21:30,44.137304,4.819594
Orange,Vaucluse,84087,"44.137304, 4.819594",87765107,Vendredi,05:45-21:30,06:45-21:30,44.137304,4.819594
Orange,Vaucluse,84087,"44.137304, 4.819594",87765107,Samedi,05:45-21:30,06:45-21:30,44.137304,4.819594
Orange,Vaucluse,84087,"44.137304, 4.819594",87765107,Dimanche,06:45-21:30,06:45-21:30,44.137304,4.819594
Saint-Raphaël Valescure,Var,83118,"43.42356, 6.769083",87757526,Lundi,05:45-22:30,05:45-23:30,43.42356,6.769083
Saint-Raphaël Valescure,Var,83118,"43.42356, 6.769083",87757526,Mardi,05:45-22:30,05:45-23:30,43.42356,6.769083
Saint-Raphaël Valescure,Var,83118,"43.42356, 6.769083",87757526,Mercredi,05:45-22:30,05:45-23:30,43.42356,6.769083
Saint-Raphaël Valescure,Var,83118,"43.42356, 6.769083",87757526,Jeudi,05:45-22:30,05:45-23:30,43.42356,6.769083
Saint-Raphaël Valescure,Var,83118,"43.42356, 6.769083",87757526,Vendredi,05:45-23:30,05:45-23:30,43.42356,6.769083
Saint-Raphaël Valescure,Var,83118,"43.42356, 6.769083",87757526,Samedi,05:45-23:30,05:45-23:30,43.42356,6.769083
Saint-Raphaël Valescure,Var,83118,"43.42356, 6.769083",87757526,Dimanche,05:45-23:30,05:45-23:30,43.42356,6.769083
Sausset-les-Pins,Bouches-du-Rhône,13104,"43.332864, 5.110001",87753558,Jeudi,09:55-16:55,Fermé,43.332864,5.110001
Sausset-les-Pins,Bouches-du-Rhône,13104,"43.332864, 5.110001",87753558,Vendredi,09:55-16:55,Fermé,43.332864,5.110001
Sisteron,Alpes-de-Haute-Provence,4209,"44.1902025, 5.9465888",87751206,Lundi,06:00-20:55,,44.1902025,5.9465888
Sisteron,Alpes-de-Haute-Provence,4209,"44.1902025, 5.9465888",87751206,Mardi,06:00-20:55,,44.1902025,5.9465888
Sisteron,Alpes-de-Haute-Provence,4209,"44.1902025, 5.9465888",87751206,Mercredi,06:00-20:55,,44.1902025,5.9465888
Sisteron,Alpes-de-Haute-Provence,4209,"44.1902025, 5.9465888",87751206,Jeudi,06:00-20:55,,44.1902025,5.9465888
Sisteron,Alpes-de-Haute-Provence,4209,"44.1902025, 5.9465888",87751206,Vendredi,06:00-20:55,,44.1902025,5.9465888
Sisteron,Alpes-de-Haute-Provence,4209,"44.1902025, 5.9465888",87751206,Samedi,06:00-20:55,,44.1902025,5.9465888
Sisteron,Alpes-de-Haute-Provence,4209,"44.1902025, 5.9465888",87751206,Dimanche,08:10-20:50,,44.1902025,5.9465888
Toulon,Var,83137,"43.12837, 5.929293",87755009,Lundi,04:45-00:00,04:45-00:00,43.12837,5.929293
Toulon,Var,83137,"43.12837, 5.929293",87755009,Mardi,04:45-00:00,04:45-00:00,43.12837,5.929293
Toulon,Var,83137,"43.12837, 5.929293",87755009,Mercredi,04:45-00:00,04:45-00:00,43.12837,5.929293
Toulon,Var,83137,"43.12837, 5.929293",87755009,Jeudi,04:45-00:00,04:45-00:00,43.12837,5.929293
Toulon,Var,83137,"43.12837, 5.929293",87755009,Vendredi,04:45-00:00,04:45-00:00,43.12837,5.929293
Toulon,Var,83137,"43.12837, 5.929293",87755009,Samedi,04:45-00:00,04:45-00:00,43.12837,5.929293
Toulon,Var,83137,"43.12837, 5.929293",87755009,Dimanche,04:45-00:00,04:45-00:00,43.12837,5.929293
Veynes Dévoluy,Hautes-Alpes,5179,"44.5320046, 5.815764",87763300,Lundi,04:30-00:00,04:30-00:00,44.5320046,5.815764
Veynes Dévoluy,Hautes-Alpes,5179,"44.5320046, 5.815764",87763300,Mardi,04:30-00:00,04:30-00:00,44.5320046,5.815764
Veynes Dévoluy,Hautes-Alpes,5179,"44.5320046, 5.815764",87763300,Mercredi,04:30-00:00,04:30-00:00,44.5320046,5.815764
Veynes Dévoluy,Hautes-Alpes,5179,"44.5320046, 5.815764",87763300,Jeudi,04:30-00:00,04:30-00:00,44.5320046,5.815764
Veynes Dévoluy,Hautes-Alpes,5179,"44.5320046, 5.815764",87763300,Vendredi,04:30-00:00,04:30-00:00,44.5320046,5.815764
Veynes Dévoluy,Hautes-Alpes,5179,"44.5320046, 5.815764",87763300,Samedi,04:30-00:00,04:30-00:00,44.5320046,5.815764
Veynes Dévoluy,Hautes-Alpes,5179,"44.5320046, 5.815764",87763300,Dimanche,04:30-00:00,04:30-00:00,44.5320046,5.815764
